"size" & "decay" & "TR_NRMSE" & "VA_NRMSE"
"1" & 2 & 0.001 & 2.21936255900193 & 13.5419457926229
"2" & 2 & 0.01 & 2.2197262269122 & 13.5440293274516
"3" & 2 & 0.1 & 2.22268988739613 & 13.5610171809889
"4" & 2 & 1 & 2.24532792522713 & 13.6905887969755
"5" & 2 & 10 & 2.38960244908632 & 14.5102055130296
"6" & 2 & 100 & 2.91009469235424 & 17.40279630651
"7" & 2 & 1000 & 3.33691196173492 & 19.7275499552779
"8" & 4 & 0.001 & 2.21934986537617 & 13.5418708766032
"9" & 4 & 0.01 & 2.21962628328638 & 13.5434561891254
"10" & 4 & 0.1 & 2.22195156872057 & 13.5567850635353
"11" & 4 & 1 & 2.24015272744536 & 13.6609862362087
"12" & 4 & 10 & 2.35857547383939 & 14.3347746679591
"13" & 4 & 100 & 2.82713126389772 & 16.9468791441855
"14" & 4 & 1000 & 3.31342185628364 & 19.6003629601855
"15" & 6 & 0.001 & 2.21934402893604 & 13.5418368017781
"16" & 6 & 0.01 & 2.2195788834333 & 13.5431860267928
"17" & 6 & 0.1 & 2.2215696073258 & 13.5545946809904
"18" & 6 & 1 & 2.23715843534729 & 13.6438580760862
"19" & 6 & 10 & 2.33895100119636 & 14.2236015760742
"20" & 6 & 100 & 2.76476054905906 & 16.6029946898078
"21" & 6 & 1000 & 3.29057681665004 & 19.4765881969049
"22" & 8 & 0.001 & 2.21934049959164 & 13.5418176898824
"23" & 8 & 0.01 & 2.21954889038786 & 13.5430130454676
"24" & 8 & 0.1 & 2.22131308078089 & 13.5531263157276
"25" & 8 & 1 & 2.23506129976015 & 13.6318530524736
"26" & 8 & 10 & 2.32491779816394 & 14.1439700964257
"27" & 8 & 100 & 2.71587309070511 & 16.3327819758427
"28" & 8 & 1000 & 3.26840120541658 & 19.3563753401906
"29" & 10 & 0.001 & 2.21933806382195 & 13.5418045585117
"30" & 10 & 0.01 & 2.21952703884293 & 13.5428865463914
"31" & 10 & 0.1 & 2.2211200620271 & 13.5520173660081
"32" & 10 & 1 & 2.23346563004467 & 13.6227208125929
"33" & 10 & 10 & 2.31421163414209 & 14.0831653846459
"34" & 10 & 100 & 2.6763561984629 & 16.1138681410541
"35" & 10 & 1000 & 3.24691040668972 & 19.2397959589142
"36" & 12 & 0.001 & 2.21933620044787 & 13.5417930413158
"37" & 12 & 0.01 & 2.21950979757343 & 13.5427891259531
"38" & 12 & 0.1 & 2.22096627691874 & 13.551137891475
"39" & 12 & 1 & 2.23219499183692 & 13.6154474537549
"40" & 12 & 10 & 2.30570843599281 & 14.0348415209628
"41" & 12 & 100 & 2.64360121029385 & 15.932018884943
"42" & 12 & 1000 & 3.22611293068579 & 19.1269313817918
"43" & 14 & 0.001 & 2.21933471621103 & 13.5417855277057
"44" & 14 & 0.01 & 2.2194955420573 & 13.5427062288408
"45" & 14 & 0.1 & 2.22083925359439 & 13.550407375983
"46" & 14 & 1 & 2.23115063050942 & 13.6094731976414
"47" & 14 & 10 & 2.29875545231107 & 13.9952865140036
"48" & 14 & 100 & 2.61596965074382 & 15.77841401465
"49" & 14 & 1000 & 3.20600721220908 & 19.017748523343
"50" & 16 & 0.001 & 2.21933341675326 & 13.5417768751033
"51" & 16 & 0.01 & 2.21948348676487 & 13.5426377430415
"52" & 16 & 0.1 & 2.2207313064504 & 13.5497879444018
"53" & 16 & 1 & 2.23027396576511 & 13.6044525531529
"54" & 16 & 10 & 2.29294548932654 & 13.9622083637203
"55" & 16 & 100 & 2.59225113885596 & 15.6462747480107
"56" & 16 & 1000 & 3.18659073109468 & 18.9122425063111
"57" & 18 & 0.001 & 2.21933229876287 & 13.541769939243
"58" & 18 & 0.01 & 2.21947303969367 & 13.5425783193776
"59" & 18 & 0.1 & 2.2206387534683 & 13.5492600447208
"60" & 18 & 1 & 2.22952658981927 & 13.600170304362
"61" & 18 & 10 & 2.28800242474902 & 13.9340748715526
"62" & 18 & 100 & 2.57163347534137 & 15.5314940217785
"63" & 18 & 1000 & 3.16784741683444 & 18.8103494464458
"64" & 20 & 0.001 & 2.219331297927 & 13.5417629153817
"65" & 20 & 0.01 & 2.21946381253637 & 13.5425233315788
"66" & 20 & 0.1 & 2.22055809830293 & 13.5487971559476
"67" & 20 & 1 & 2.22888006638242 & 13.5964690439988
"68" & 20 & 10 & 2.283744837145 & 13.9098113052903
"69" & 20 & 100 & 2.55351343447377 & 15.4303047216752
"70" & 20 & 1000 & 3.14976627007951 & 18.7120007388978
